"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Latitude","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocatioin"
"2018","AL","Alabama","Elmore","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78",,,"77.2","78.7","81,887","32.59685888","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.14875636 32.59685888)"
"2018","AL","Alabama","Elmore","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77",,,"76.1","77.8","81,887","32.59685888","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.14875636 32.59685888)"
"2018","AL","Alabama","Escambia","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.5",,,"77.8","79.3","36,748","31.12612281","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.16137773 31.12612281)"
"2018","AL","Alabama","Escambia","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","76.8",,,"76.0","77.6","36,748","31.12612281","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.16137773 31.12612281)"
"2018","AL","Alabama","Etowah","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.9",,,"77.1","78.7","102,501","34.04522195","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.03539165 34.04522195)"
"2018","AL","Alabama","Etowah","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.6",,,"74.7","76.5","102,501","34.04522195","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.03539165 34.04522195)"
"2018","AL","Alabama","Fayette","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.2",,,"77.4","79.0","16,433","33.72121137","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.73921374 33.72121137)"
"2018","AL","Alabama","Fayette","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.1",,,"74.2","76.1","16,433","33.72121137","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.73921374 33.72121137)"
"2018","AL","Alabama","Franklin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.2",,,"75.3","77.1","31,363","34.44238135","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.843283 34.44238135)"
"2018","AL","Alabama","Franklin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","74.3",,,"73.3","75.3","31,363","34.44238135","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.843283 34.44238135)"
"2018","AL","Alabama","Geneva","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.2",,,"77.4","79.1","26,314","31.09487431","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.83932635 31.09487431)"
"2018","AL","Alabama","Geneva","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.3",,,"74.3","76.3","26,314","31.09487431","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.83932635 31.09487431)"
"2018","AL","Alabama","Greene","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","84.4",,,"83.7","85.0","8,233","32.8537694","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.95608364 32.8537694)"
"2018","AL","Alabama","Greene","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","81.9",,,"81.0","82.7","8,233","32.8537694","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.95608364 32.8537694)"
"2018","AL","Alabama","Hale","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","82.1",,,"81.4","82.7","14,726","32.76294506","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.63018079 32.76294506)"
"2018","AL","Alabama","Hale","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","80.1",,,"79.3","80.8","14,726","32.76294506","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.63018079 32.76294506)"
"2018","AL","Alabama","Henry","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","80.2",,,"79.5","80.9","17,209","31.5149075","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.24183736 31.5149075)"
"2018","AL","Alabama","Henry","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77",,,"76.1","77.8","17,209","31.5149075","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.24183736 31.5149075)"
"2018","AL","Alabama","Houston","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","79.2",,,"78.5","79.9","104,722","31.15350797","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.30249702 31.15350797)"
"2018","AL","Alabama","Houston","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77.5",,,"76.6","78.3","104,722","31.15350797","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.30249702 31.15350797)"
"2018","AL","Alabama","Jackson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.6",,,"76.7","78.5","51,736","34.77967706","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.99947453 34.77967706)"
"2018","AL","Alabama","Jackson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","74.7",,,"73.7","75.7","51,736","34.77967706","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.99947453 34.77967706)"
"2018","AL","Alabama","Jefferson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","80.3",,,"79.6","80.8","659,300","33.55458811","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.89673378 33.55458811)"
"2018","AL","Alabama","Jefferson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","79.3",,,"78.6","79.9","659,300","33.55458811","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.89673378 33.55458811)"
"2018","AL","Alabama","Lamar","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.5",,,"77.6","79.3","13,844","33.77909349","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-88.09715315 33.77909349)"
"2018","AL","Alabama","Lamar","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.1",,,"74.0","76.1","13,844","33.77909349","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-88.09715315 33.77909349)"
