"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","NC","North Carolina","Hyde","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"74.0","81.6","4,576","3,862","37095","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-76.246508754071 35.5192667562167)"
"2022","OH","Ohio","Lucas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.9",,,"78.4","83.3","426,643","329,973","39095","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-83.6584628770734 41.6198809742992)"
"2022","OH","Ohio","Jackson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.8",,,"75.3","82.0","32,586","24,880","39079","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-82.6182154386703 39.019742017525)"
"2022","OH","Ohio","Coshocton","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.5",,,"70.4","78.1","36,571","27,883","39031","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-81.9201277213696 40.3017013117605)"
"2022","NC","North Carolina","Ashe","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","73.3",,,"68.9","77.3","27,110","22,615","37009","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-81.5005505989795 36.4341479679829)"
"2022","NY","New York","Seneca","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.5",,,"77.0","82.0","32,882","26,182","36099","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-76.8234304711163 42.7807211049499)"
"2022","NC","North Carolina","Stanly","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.7",,,"73.7","81.2","64,153","50,302","37167","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-80.2512803776288 35.311751830322)"
"2022","NC","North Carolina","Beaufort","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.6",,,"72.3","80.7","44,272","35,727","37013","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-76.8589373781447 35.4941226525086)"
"2022","NC","North Carolina","New Hanover","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.7",,,"74.2","81.2","234,921","194,120","37129","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-77.8842723951621 34.2328162979962)"
"2022","NC","North Carolina","Warren","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","77.9",,,"73.8","81.4","18,713","15,455","37185","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-78.1065171313416 36.3966767382286)"
