"Year","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPop18plus","TotalPopulation","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","57792","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.2",,,"76.2","81.9","72","98","POINT (-102.3679748 44.5975402)","57792","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57761","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.1",,,"73.3","78.6","902","1,183","POINT (-102.7854345 44.227284)","57761","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58054","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.4",,,"73.7","80.8","2,466","3,229","POINT (-97.6687216 46.4168813)","58054","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58029","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.2",,,"75.6","80.8","95","129","POINT (-97.3940662 47.119024)","58029","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58079","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.0",,,"74.1","79.7","385","537","POINT (-97.3666811 46.8684402)","58079","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57793","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.6",,,"73.7","79.5","1,559","2,017","POINT (-103.5788115 44.5252869)","57793","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58081","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.9",,,"72.0","79.5","666","881","POINT (-97.1438293 46.3138575)","58081","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57762","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.2",,,"72.3","79.8","406","510","POINT (-103.6196915 44.7533514)","57762","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58056","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.2",,,"75.5","80.6","141","168","POINT (-97.9294907 47.2368749)","58056","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58030","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.9",,,"73.2","80.3","506","648","POINT (-96.6681855 46.030334)","58030","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57794","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","70.7",,,"66.8","74.6","365","619","POINT (-102.4069785 43.1206812)","57794","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58031","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.5",,,"74.0","79.0","302","418","POINT (-97.6714912 46.7676842)","58031","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58102","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","73.4",,,"70.3","76.4","25,911","30,767","POINT (-96.8348187 46.9272104)","58102","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57763","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.2",,,"76.7","83.4","201","263","POINT (-103.2511572 43.123511)","57763","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57764","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","70.1",,,"65.8","74.3","1,049","1,756","POINT (-102.7711349 43.2578605)","57764","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
