"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2021","OR","Oregon","Baker","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","65",,,"58.9","70.8","16,847","41001","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-117.6919334 44.7034268)"
"2021","IN","Indiana","Pulaski","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.4",,,"68.1","78.4","12,339","18131","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.6925383 41.0452718)"
"2021","ND","North Dakota","Ramsey","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","70.1",,,"65.3","74.5","11,572","38071","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-98.739031 48.2661631)"
"2021","CO","Colorado","Prowers","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","67.8",,,"62.3","73.5","11,996","08099","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-102.3921613 37.9581814)"
"2021","NC","North Carolina","Pitt","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","79.2",,,"74.9","83.2","172,169","37147","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-77.3727387 35.5924897)"
"2021","IN","Indiana","Newton","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.1",,,"67.8","78.2","13,808","18111","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.4021716 40.9623985)"
"2021","MS","Mississippi","Monroe","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","80.1",,,"75.6","84.3","33,883","28095","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-88.4850379 33.8900295)"
"2021","MA","Massachusetts","Plymouth","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.6",,,"71.8","79.2","533,003","25023","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-70.7419417 41.9871959)"
"2021","NE","Nebraska","Valley","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","74.8",,,"70.0","79.2","4,066","31175","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-98.9834841 41.5640938)"
"2021","CO","Colorado","Park","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","70.4",,,"64.9","75.2","17,720","08093","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-105.7176479 39.1189141)"
"2021","ID","Idaho","Blaine","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","73",,,"67.7","78.0","24,766","16013","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-113.9553713 43.394192)"
"2021","NC","North Carolina","Guilford","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78.6",,,"74.6","82.4","542,410","37081","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-79.7886652 36.079065)"
"2021","MN","Minnesota","Fillmore","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","69.4",,,"63.9","74.4","21,271","27045","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-92.0939369 43.6791869)"
"2021","IL","Illinois","Boone","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","76.3",,,"70.9","80.9","53,159","17007","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-88.8242951 42.3189831)"
"2021","NC","North Carolina","Onslow","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77",,,"72.5","81.1","206,160","37133","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-77.4994691 34.7631087)"
"2021","LA","Louisiana","Livingston","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.6",,,"72.4","80.7","145,830","22063","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-90.7274738 30.4404194)"
"2021","KS","Kansas","Montgomery","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","73.5",,,"69.2","77.6","31,156","20125","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-95.7424028 37.1895369)"
"2021","AL","Alabama","Madison","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77.8",,,"73.6","81.6","395,211","01089","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.5510802 34.7642377)"
"2021","MN","Minnesota","Freeborn","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","70.7",,,"65.5","75.6","30,749","27047","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-93.3502887 43.6742019)"
"2021","LA","Louisiana","St. James","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","81.9",,,"77.5","85.8","19,742","22093","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-90.7939562 30.0247772)"
"2021","NY","New York","Chautauqua","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","80.4",,,"77.5","83.4","126,807","36013","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-79.4075949 42.3042159)"
