"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","VT","Vermont","Windsor","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","69.3",,,"65.5","72.9","58,101","48,044","50027","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-72.5865074428199 43.5797484420206)"
"2023","VA","Virginia","Prince William","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.3",,,"75.9","82.3","489,640","361,424","51153","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-77.4806568205159 38.7028887252261)"
"2023","TX","Texas","Waller","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","73.7",,,"69.5","77.7","63,553","48,491","48473","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-95.9873089845741 30.0111246617293)"
"2023","VA","Virginia","Spotsylvania","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.8",,,"73.0","80.4","149,588","113,315","51177","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-77.6557235887832 38.1847024527144)"
"2023","VA","Virginia","Greensville","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.2",,,"75.5","82.6","11,133","9,333","51081","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-77.5594411054267 36.6756602905362)"
"2023","VA","Virginia","Sussex","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","78.6",,,"74.7","81.9","10,757","9,043","51183","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-77.2619862677843 36.9217516130991)"
"2023","UT","Utah","Wayne","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.8",,,"65.7","75.6","2,614","2,014","49055","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-110.903829194024 38.3244257886812)"
"2023","TX","Texas","Titus","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","72.3",,,"68.0","76.3","31,357","22,569","48449","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-94.9657501261374 33.2166629158595)"
"2023","VA","Virginia","Charlottesville","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.2",,,"73.5","80.9","44,983","37,336","51540","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-78.4851956784908 38.0379849799995)"
"2023","VA","Virginia","Lunenburg","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.5",,,"77.3","83.6","12,038","9,653","51111","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-78.2404882289963 36.9458951476308)"
